[2024-09-11 15:26:17] info: 	z2m: Logging to console, file (filename: log.log)
[2024-09-11 15:26:18] info: 	z2m: Starting Zigbee2MQTT version 1.40.1 (commit #403d3c0)
[2024-09-11 15:26:18] info: 	z2m: Starting zigbee-herdsman (0.57.3)
[2024-09-11 15:26:18] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-09-11 15:26:18] info: 	zh:zstack:znp: Serialport opened
[2024-09-11 15:26:21] info: 	z2m: zigbee-herdsman started (resumed)
[2024-09-11 15:26:21] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20210708,"transportrev":2},"type":"zStack3x0"}'
[2024-09-11 15:26:21] info: 	z2m: Groupe 1 (0x543204fffe3350b4): Not supported (EndDevice)
[2024-09-11 15:26:21] info: 	z2m: Currently 1 devices are joined.
[2024-09-11 15:26:21] info: 	z2m: Zigbee: disabling joining new devices.
[2024-09-11 15:26:21] info: 	z2m: Connecting to MQTT server at mqtt://mqtt:1883
[2024-09-11 15:26:22] info: 	z2m: Connected to MQTT server
[2024-09-11 15:26:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-09-11 15:26:22] info: 	z2m: Started frontend on port 8080
[2024-09-11 15:26:22] info: 	z2m: Zigbee2MQTT started!
