[2024-09-11 11:47:04] info: 	z2m: Logging to console, file (filename: log.log)
[2024-09-11 11:47:04] info: 	z2m: Starting Zigbee2MQTT version 1.40.1 (commit #403d3c0)
[2024-09-11 11:47:04] info: 	z2m: Starting zigbee-herdsman (0.57.3)
[2024-09-11 11:47:05] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-09-11 11:47:05] info: 	zh:zstack:znp: Serialport opened
[2024-09-11 11:47:05] info: 	z2m: zigbee-herdsman started (resumed)
[2024-09-11 11:47:05] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20210708,"transportrev":2},"type":"zStack3x0"}'
[2024-09-11 11:47:05] info: 	z2m: Currently 0 devices are joined.
[2024-09-11 11:47:05] info: 	z2m: Zigbee: disabling joining new devices.
[2024-09-11 11:47:05] info: 	z2m: Connecting to MQTT server at mqtt://mqtt:1883
[2024-09-11 11:47:05] info: 	z2m: Connected to MQTT server
[2024-09-11 11:47:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-09-11 11:47:05] info: 	z2m: Started frontend on port 8080
[2024-09-11 11:47:05] info: 	z2m: Zigbee2MQTT started!
[2024-09-11 11:48:03] info: 	z2m: Zigbee: allowing new devices to join.
[2024-09-11 11:48:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254,"value":true},"status":"ok","transaction":"40gkv-1"}'
[2024-09-11 13:51:45] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"offline"}'
[2024-09-11 13:51:45] info: 	z2m: Disconnecting from MQTT server
[2024-09-11 13:51:45] info: 	z2m: Stopping zigbee-herdsman...
[2024-09-11 13:51:55] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2024-09-11 13:51:55] info: 	zh:zstack:znp: closing
[2024-09-11 13:51:55] info: 	zh:zstack:znp: Port closed
[2024-09-11 13:51:55] info: 	z2m: Stopped zigbee-herdsman
[2024-09-11 13:51:55] info: 	z2m: Stopped Zigbee2MQTT
